"tab20b","polychrome","alphabet","alphabet2","ldw29","txg","curio","biorad","primary","colblind_8","cubs","lions","capitals","cornell","futurama_ggsci","rickandmorty_ggsci","simpsons_ggsci","spectral","magma","inferno","plasma","viridis","batlow","cividis","rocket","mako","turbo","RdYlBu","blue_ramp","red_ramp","green_ramp","purple_ramp","orange_ramp","flare","crest","rainbow_adata",,,"gdocs","aurora","subcharizard","subcarvanha"
"#393B79","#5A5156","#F0A0FF","#AA0DFE","#F20A53","#52A0DC","#56E292","#38A74E","#C42A2E","#5AA878","#CC3433","#0076B6","#041E42","#B31B1B","#FF6F00FF","#FAFD7CFF","#FED439FF","#9E0142","#000004FF","#000004FF","#0D0887FF","#440154FF","#001959","#00204DFF","#03051AFF","#0B0405FF","#30123BFF","#A50026","#E3F2FD","#FFEBEE","#E8F5E9","#F3E5F5","#1B5E20","#E98D6B","#7DBA91","#D85D5B",,,"#4663cd","#b7616b","#cd6021","#c19126"
"#5254A3","#E4E1E3","#0075DC","#3283FE","#4D1F82","#8CBE56","#5BD7F4","#ECCE23","#D8A837","#E9DF4F","#0E3386","#B0B7BC","#C8102E","#222222","#C71000FF","#82491EFF","#709AE1FF","#D53E4F","#02020DFF","#02020EFF","#1E068EFF","#460A5DFF","#04205A","#002557FF","#0A091FFF","#12080DFF","#372568FF","#D73027","#BBDEFB","#FFCDD2","#C8E6C9","#E1BEE7","#FFE0B2","#E3685C","#59A590","#DC9131",,,"#cf3a18","#c88870","#883001","#3a4699"
"#6B6ECF","#F6222E","#993F00","#85660D","#8F4ECC","#EFC438",,"#DD6109","#2E6198","#3670B7",,,,,"#008EA0FF","#24325FFF","#8A9197FF","#F46D43","#06051BFF","#07051CFF","#2B0593FF","#471366FF","#07265B","#002A62FF","#130E25FF","#180E17FF","#3D368EFF","#F46D43","#90CAF9","#EF9A9A","#A5D6A7","#CE93D8","#FFCC80","#D14A61","#40908E","#E6C539",,,"#f49a00","#e5cc8b","#243f68","#5d4937"
"#9C9EDE","#FE00FA","#4C005C","#782AB6","#3D78E0","#CE4C51",,,,"#D85B2A",,,,,"#8A4198FF","#B7E4F9FF","#D2AF81FF","#FDAE61","#0D0A28FF","#0E092AFF","#360499FF","#481C6EFF","#0A2C5C","#002E6DFF","#1C112CFF","#1F1220FF","#4248AFFF","#FDAE61","#64B5F6","#E57373","#81C784","#BA68C8","#FFB74D","#B13C6C","#287A8C","#78BA74",,,"#34970c","#a5bf8b","#f1d167","#ad393a"
"#637939","#16FF32","#191919","#565656","#D6475F",,,,,"#C66FA9",,,,,"#5A9599FF","#FB6467FF","#FD7446FF","#FEE08B","#140E36FF","#160B39FF","#41049DFF","#482475FF","#0D325E","#00316FFF","#251433FF","#251729FF","#4559CBFF","#FEE090","#42A5F5","#EF5350","#66BB6A","#AB47BC","#FFA726","#8F3371","#1C6488","#5695BE",,,"#921d9a","#b18dad","#397890","#4f77b8"
"#8CA252","#3283FE","#005C31","#1C8356","#000000",,,,,"#BDBEC0",,,,,"#FF6348FF","#526E2DFF","#D5E4A2FF","#FFFFBF","#1C1044FF","#1F0C48FF","#4B03A1FF","#472C7AFF","#0E3A5E","#01366EFF","#2E1739FF","#2A1B33FF","#4669E0FF","#FFFFBF","#2196F3","#F44336","#4CAF50","#9C27B0","#FF9800","#6C2B6D","#254B7F","#2C4C60",,,"#4098c6",,"#d0d0d0","#2b2759"
"#B5CF6B","#FEAF16","#2BCE48","#16FF32","#940A1D",,,,,"#E3932E",,,,,"#84D7E1FF","#E762D7FF","#197EC0FF","#E6F598","#241254FF","#2A0B56FF","#5502A4FF","#46337FFF","#11405F","#193A6DFF","#37193FFF","#2F1F3DFF","#4779F1FF","#E0F3F8","#1E88E5","#E53935","#43A047","#8E24AA","#FB8C00",,,"#895AA2",,,"#d14478",,"#4da7b8","#ed8181"
"#CEDB9C","#B00068","#FFCC99","#F7E1A0","#FAA000",,,,,"#60B8EF",,,,,"#FF95A8FF","#E89242FF","#F05C3BFF","#ABDDA4","#2E1162FF","#350960FF","#5F01A6FF","#443A84FF","#134660","#253E6CFF","#411B45FF","#342548FF","#4589FCFF","#ABD9E9","#1976D2","#D32F2F","#388E3C","#7B1FA2","#F57C00",,,,,,"#6eab00",,,
"#8C6D31","#1CFFCE","#808080","#E2E2E2","#447173",,,,,,,,,,"#3D3B25FF","#FAE48BFF","#46732EFF","#66C2A5","#390F6DFF","#3F0A67FF","#6900A8FF","#414287FF","#174D60","#30436CFF","#4B1D4AFF","#382953FF","#4098FFFF","#74ADD1","#1565C0","#C62828","#2E7D32","#6A1B9A","#EF6C00",,,,,,"#ad2f30",,,
"#BD9E39","#90AD1C","#94FFB5","#1CBE4F","#3C0AAA",,,,,,,,,,"#ADE2D0FF","#A6EEE6FF","#71D0F5FF","#3288BD","#440F76FF","#4A0C6BFF","#7201A8FF","#3E4989FF","#1B5360","#38486BFF","#541E4EFF","#3B2E5DFF","#37A8FAFF","#4575B4","#0D47A1","#B71C1C","#1B5E20","#4A148C","#E65100",,,,,,"#3f6296",,,
