"sampleID","fastq_R1","fastq_R2","SRR_ID"
"SRR11863086","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863086_1.fastq.gz",,"SRR11863086"
"SRR11863087","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863087_1.fastq.gz",,"SRR11863087"
"SRR11863088","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863088_1.fastq.gz",,"SRR11863088"
"SRR11863089","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863089_1.fastq.gz",,"SRR11863089"
"SRR11863090","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863090_1.fastq.gz",,"SRR11863090"
"SRR11863091","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863091_1.fastq.gz",,"SRR11863091"
"SRR11863092","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863092_1.fastq.gz",,"SRR11863092"
"SRR11863093","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863093_1.fastq.gz",,"SRR11863093"
"SRR11863094","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863094_1.fastq.gz",,"SRR11863094"
"SRR11863095","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863095_1.fastq.gz",,"SRR11863095"
"SRR11863096","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863096_1.fastq.gz",,"SRR11863096"
"SRR11863097","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863097_1.fastq.gz",,"SRR11863097"
"SRR11863098","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863098_1.fastq.gz",,"SRR11863098"
"SRR11863099","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863099_1.fastq.gz",,"SRR11863099"
"SRR11863100","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863100_1.fastq.gz",,"SRR11863100"
"SRR11863101","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863101_1.fastq.gz",,"SRR11863101"
"SRR11863102","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863102_1.fastq.gz",,"SRR11863102"
"SRR11863103","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863103_1.fastq.gz",,"SRR11863103"
"SRR11863104","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863104_1.fastq.gz",,"SRR11863104"
"SRR11863105","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863105_1.fastq.gz",,"SRR11863105"
"SRR11863106","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863106_1.fastq.gz",,"SRR11863106"
"SRR11863107","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863107_1.fastq.gz",,"SRR11863107"
"SRR11863108","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863108_1.fastq.gz",,"SRR11863108"
"SRR11863109","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863109_1.fastq.gz",,"SRR11863109"
"SRR11863110","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863110_1.fastq.gz",,"SRR11863110"
"SRR11863111","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863111_1.fastq.gz",,"SRR11863111"
"SRR11863112","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863112_1.fastq.gz",,"SRR11863112"
"SRR11863113","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863113_1.fastq.gz",,"SRR11863113"
"SRR11863114","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863114_1.fastq.gz",,"SRR11863114"
"SRR11863115","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863115_1.fastq.gz",,"SRR11863115"
"SRR11863116","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863116_1.fastq.gz",,"SRR11863116"
"SRR11863117","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863117_1.fastq.gz",,"SRR11863117"
"SRR11863118","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863118_1.fastq.gz",,"SRR11863118"
"SRR11863119","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863119_1.fastq.gz",,"SRR11863119"
"SRR11863120","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863120_1.fastq.gz",,"SRR11863120"
"SRR11863121","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863121_1.fastq.gz",,"SRR11863121"
"SRR11863122","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863122_1.fastq.gz",,"SRR11863122"
"SRR11863123","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863123_1.fastq.gz",,"SRR11863123"
"SRR11863124","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863124_1.fastq.gz",,"SRR11863124"
"SRR11863125","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863125_1.fastq.gz",,"SRR11863125"
